feature,importance
max_normalized_qty,0.0640903754741556
total_normalized_qty,0.05995755212339014
digit_count,0.030826660840705473
bulk_weighted,0.027464577515348226
image_contrast,0.027107141220684448
image_file_size,0.02663681685057158
avg_quantity,0.024195508959467944
total_quantity,0.024134211003360533
max_quantity,0.02296081902068473
digit_ratio,0.022363177108728215
avg_word_length,0.020828290962654154
text_length_log,0.02050556711575088
uppercase_ratio,0.019877769833078842
image_saturation,0.0197094904031368
text_length,0.019672715669314937
image_pixels,0.019480893892784228
word_count,0.018994820839544426
brand_mentions,0.018813945387165982
punctuation_density,0.018509489280935647
fresh_weighted,0.01821637441366336
number_sequences,0.017929393102856284
unique_words,0.01792678279877565
word_diversity,0.017745933303550194
min_quantity,0.017453277234360107
uppercase_count,0.017336231476010145
image_height,0.017003897883971268
bulk_score,0.016995415017341135
quantity_variance,0.016621024115883603
sentence_count,0.016541081486456458
image_brightness,0.016097479316331882
image_width,0.01600774245768023
word_count_log,0.015915087262153182
parentheses,0.015347562818479585
food_weighted,0.01447931769652092
image_dominant_color_b,0.013558753706412062
image_dominant_color_r,0.013138969007873435
bullet_points,0.01220202707425281
line_breaks,0.01188562208543722
image_dominant_color_g,0.011631938560309444
image_aspect_ratio,0.011422224315961288
quantity_count,0.011008290226349688
health_weighted,0.00879914970188768
premium_weighted,0.008725149856718094
caps_words,0.00865549466655048
has_pack_unit,0.00805937329101874
convenience_weighted,0.007737811649408566
food_score,0.007138653309698572
has_description,0.006749469935840548
exclamation_density,0.006286303241166986
gift_weighted,0.006133647259372876
fresh_score,0.005529495278484677
health_score,0.005320159452768552
percent_mentions,0.005212534220528073
premium_score,0.005202409090181656
repeated_chars,0.0046850477219673005
convenience_score,0.004268007200148398
origin_words,0.004100777163611379
has_weight_unit,0.0036278095269112
gift_score,0.003606614889333284
quality_words,0.003449342659039764
process_words,0.0033277138685632
brand_words,0.0031694352641556084
size_words,0.0030472557267571523
has_volume_unit,0.002864241303670561
process_words_binary,0.002353821351585677
brand_words_binary,0.0021809377960511924
has_directions,0.0021423450621883802
size_words_binary,0.0020129300108935187
has_health,0.0019529254353132383
has_gift,0.0019378996949765317
has_allergen,0.0018446514153313536
origin_words_binary,0.0018234495280432005
has_fresh,0.00181812989352898
has_premium,0.0018115331120937936
has_convenience,0.0017967261717928731
quality_words_binary,0.0017144846482132312
has_storage,0.0014238915662199796
has_ingredients,0.0013961649950748334
has_nutrition,0.0013564122605432838
has_food,0.001206022911946173
has_count_unit,0.000837296310540598
question_marks,0.0008332253943595602
has_trademark,0.0005167305992643574
image_format_jpg,0.0002762920467838534
brackets,0.00021732167303889464
image_download_success,0.00020273691538025447
dollar_mentions,5.3356387588102186e-05
rating_mentions,2.947350146672205e-07
image_color_channels,2.749443574826098e-07
has_bulk,0.0
has_image,0.0
image_url_length,0.0
amazon_image,0.0
image_has_transparency,0.0
image_format_png,0.0
